Size,add(E),addAll(Collection<? extends E>),clear(),contains(Object),containsAll(Collection<?>),isEmpty(),remove(Object),removeAll(Collection<?>),retainAll(Collection<?>),size(),toArray(),toArray(T[]),toString(),hashCode(),clone(),iterator(),spliterator(),equals(Object)
1,1791,583,1958,5333,2750,917,5750,13500,3125,833,2167,2000,917,6208,1750,1083,1245208,1917
10,3666,3750,708,500,9458,166,1417,8834,9333,125,1583,833,422458,1250,58375,2041,5541,500
50,19083,18084,1666,1250,12542,84,1416,96791,40209,83,1458,1208,73667,3875,15708,2542,6209,584
100,40375,39667,3250,875,14208,167,1000,148625,114375,125,2084,1833,118542,6125,19500,3500,8458,458
250,27166,31667,4375,1084,15917,167,1042,329875,157750,83,4292,4000,263292,33667,107666,17542,41834,1167
500,53167,57375,8792,4875,35375,250,5792,604417,651125,125,13291,7625,138208,21417,57500,14709,21375,500
750,69875,64708,8666,2917,35750,250,958,1485333,1444500,209,12000,11333,133292,16041,82917,22042,31875,875
1000,92042,85708,16541,292,45416,208,542,779125,244542,125,14500,14208,186917,8333,93958,28666,40833,458
2500,198041,192750,32792,542,105000,250,6042,1414917,1496333,125,34375,32791,369334,20542,232541,71583,99834,542
5000,362916,364000,64209,2750,209042,125,667,6313333,5977333,125,74500,77875,617167,43250,474458,143667,207209,708
7500,683292,445333,129959,291,311750,208,3417,13572500,13242667,125,105584,99500,774000,72042,676500,220083,294833,583
10000,646750,390625,123083,209,412542,167,583,23551667,23035750,125,133041,129667,899125,78250,854959,268250,352333,292
25000,1967417,1036000,315167,333,1025083,209,583,168844917,165727042,167,341792,107375,2207125,220333,2163958,696709,916583,500
50000,3338584,2287708,104125,625,1459041,209,1125,575516500,571831750,167,293333,184042,3292458,198959,2272292,668542,826500,1250
100000,6301750,6598583,62416,1041,2087583,292,1084,2307226916,2295888042,333,687500,1342708,3660375,252750,2267291,780750,378417,2917
