Size,add(E),addAll(Collection<? extends E>),clear(),contains(Object),containsAll(Collection<?>),isEmpty(),remove(Object),removeAll(Collection<?>),retainAll(Collection<?>),size(),toArray(),toArray(T[]),toString(),hashCode(),clone(),iterator(),spliterator(),equals(Object)
1,5750,667,2125,5167,2834,542,6000,9000,1875,791,2042,1334,791,2500,5583,15500,1306625,1292
10,3083,3458,709,4375,6208,125,1250,8417,6584,83,1625,625,27083,4542,50417,1667,5042,666
50,19375,21666,2000,833,15709,125,1417,96000,75666,125,1250,1000,91084,6583,32500,1834,4500,375
100,23917,34417,2417,791,15708,125,1166,295916,254500,83,2167,1791,121583,19959,37625,3666,9041,542
250,33916,24750,4500,1334,16458,167,1250,274958,189042,125,4333,3917,230875,3917,48667,9000,19875,542
500,52625,47000,8625,2417,28250,167,1167,1160292,772167,125,8792,7333,307834,9875,78708,14458,129000,1959
750,71500,70958,8666,3042,34417,125,2875,879833,152875,208,12708,11125,134625,6708,88792,21875,31417,875
1000,98625,93541,16584,4583,44750,209,625,280625,245708,125,15083,14584,166042,8750,103542,28791,40458,458
2500,201875,186833,32208,292,113875,209,875,1423917,1615250,125,44708,40583,439458,21958,401625,71875,100833,708
5000,380916,361333,64500,4834,213833,250,8250,6360958,6012000,125,71208,64958,659958,52250,468541,144583,206458,500
7500,883583,570750,128334,2958,341875,292,3250,13651083,13035125,167,100709,96292,721541,22375,634791,199708,267125,291
10000,650167,374250,122875,2000,413667,208,625,23049333,22811125,125,133292,129917,878250,22833,830834,265459,353584,500
25000,1870125,1010541,340875,333,1014750,208,583,202511000,196610958,125,354041,106042,2288333,77708,2156250,665792,926875,917
50000,3400708,2311250,100542,625,1147125,334,1292,570683166,568912625,125,206500,736625,3366209,149084,2298584,668500,795375,4000
100000,7035958,5447208,62250,1209,1401542,1666,2792,2291889208,2257953625,208,392125,1406458,4234375,250625,2287250,327709,874875,1542
