Size;add(E);addAll(Collection);Constructor(int,float);Constructor(int);clear();clone();Constructor(Collection);contains(Object);containsAll(Collection);Constructor();equals(Object);hashCode();isEmpty();iterator();remove(Object);removeAll(Collection);retainAll(Collection);size();spliterator();toArray();toArray(T[]);toString()
10000;309649;138851;33;32;5639;199613;210902;106;133870;65;170405;42765;58;39512;186;58751897;57048059;48;41206;24261;32256;499445
20000;658470;314506;71;63;13866;441949;493937;250;302041;69;360203;81727;54;72185;251;190570877;193897421;49;77319;51792;61850;944471
30000;1155754;408949;91;85;27448;671467;645419;182;441730;67;549065;126685;51;118039;286;451350004;436262535;55;118824;74015;88615;1462949
40000;1277134;651987;100;129;26330;1053857;937746;234;593442;56;736947;162496;52;155778;264;650392380;640087940;52;154741;99609;116316;1937230
50000;2148582;674338;102;88;56229;1008845;1022266;255;656116;55;867839;216398;56;200585;928;1251309056;1148145875;56;202305;118773;141018;2495504
60000;2348391;870447;102;89;53864;1397851;1472243;218;893715;72;1049652;255852;58;260353;374;1626103495;1854798125;56;248330;140945;171953;2903504
70000;2488209;1118074;93;1223;52386;1512468;1628865;212;1147527;104;1269990;304327;55;290007;340;2318647583;2330329963;47;274853;169935;205524;3253300
80000;2682126;1323626;142;103;50959;2117753;2106628;221;1352523;91;1477042;330828;82;312990;488;2767721176;2788749968;49;305623;185836;232471;3726441
90000;2980610;1659952;194;110;50913;2343155;2463324;265;1562473;103;1764227;379533;110;527772;659;4208110968;4427302389;59;354116;215321;258034;4159339
100000;5151365;1410745;159;125;106127;2128630;2342767;331;1424635;172;1721490;446535;98;406153;3013;4674842921;4381978889;50;414017;257044;311669;4747308
