Size;add(E);addAll(Collection);Constructor(int,float);Constructor(int);clear();clone();Constructor(Collection);contains(Object);containsAll(Collection);Constructor();equals(Object);hashCode();isEmpty();iterator();remove(Object);removeAll(Collection);retainAll(Collection);size();spliterator();toArray();toArray(T[]);toString()
10000;182162;90341;677;1203;18058;35292;87897;43;44560;33;52184;21628;27;24792;65;280693;199282;26;21967;13522;15223;379041
20000;375608;207294;1541;1549;37004;70520;186052;78;144041;41;144119;42257;38;47107;84;621233;453616;40;42340;29272;34307;728868
30000;618717;281362;1309;1492;59719;116297;266800;124;146478;41;201199;63598;35;71189;143;858913;643263;31;64455;41531;52029;1087088
40000;776585;431272;2855;4518;78883;157634;432102;161;263440;62;311393;86409;46;95479;224;1351214;974095;30;94771;56443;67886;1643038
50000;1179492;445912;2729;2436;110246;221789;468150;200;246403;62;339718;108032;41;118199;184;1497721;998579;30;108478;69981;79289;1858151
60000;1310469;575856;3034;3660;130879;253922;609884;252;343594;77;422922;141860;56;144856;244;2032492;1264897;39;133426;86766;104707;2301974
70000;1415295;722518;6872;5566;145759;300361;751629;196;453639;127;561185;156870;41;169152;183;2514925;1642784;36;155311;102107;121186;2720444
80000;1581568;910065;7248;7246;168254;319808;964998;286;611791;142;681540;175038;42;194552;270;3200986;1996352;38;180202;113933;136907;3267075
90000;1777209;1063981;6899;4759;183942;346816;1099617;248;724712;119;812768;197904;69;218462;250;3608150;2389031;40;194684;127093;154936;3654365
100000;2530282;1022711;8690;7077;246246;494815;1074252;353;612025;112;794458;221919;51;244368;324;3900093;2173055;55;249143;150124;180024;4131068
