Size;add(E);addAll(Collection);Constructor(int,float);Constructor(int);clear();clone();Constructor(Collection);contains(Object);containsAll(Collection);Constructor();equals(Object);hashCode();isEmpty();iterator();remove(Object);removeAll(Collection);retainAll(Collection);size();spliterator();toArray();toArray(T[]);toString()
10000;311453;142224;32;32;3968;138704;142249;38;81132;32;88776;23529;25;20088;48;30324472;29800004;28;23508;14512;16945;328241
20000;644109;315464;60;58;7918;306260;341430;89;182345;39;201333;46895;33;39631;132;116557564;119922502;34;45657;29988;34104;653592
30000;1132922;394549;77;71;16104;393441;418652;112;249387;33;276145;70908;38;61554;184;262898267;289537432;30;75561;42685;50528;991542
40000;1277472;644937;69;66;15688;609303;692159;111;385955;51;423184;95113;28;78701;138;482367528;477184889;28;93299;56119;67979;1313980
50000;2131545;626505;75;65;31438;637652;706017;124;386910;43;450068;120046;44;106440;155;676493895;645792454;29;120050;69985;84856;1649205
60000;2295358;832791;74;67;34530;808072;909596;124;506570;48;579772;142377;34;124356;157;915767931;1012231773;33;144355;84114;99400;1984109
70000;2477758;1044745;70;67;32962;1022146;1108644;127;646479;112;717027;167111;57;148975;170;1318404969;1295698065;44;166026;101631;116926;2282917
80000;2716271;1277126;74;76;33005;1275407;1349537;143;797755;97;884331;194150;47;167001;198;1629027593;1653820699;47;190783;111291;132708;2611551
90000;2952165;1569462;76;294;32203;1559289;1636020;135;960949;68;1049616;216774;56;189092;287;2277938362;2277890750;48;222647;125833;155895;2898779
100000;5026576;1412077;95;107;69255;1458787;1592837;146;814817;76;925793;240050;56;207925;213;2723802533;2622697927;52;231615;147097;170818;3466012
